,sequence_name,Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2,Site
326,SUBI_ECOLI,0.62,0.83,0.48,0.5,0.46,0.36,0.4,4
327,TBPA_ECOLI,0.56,0.54,0.48,0.5,0.43,0.37,0.3,4
328,TESA_ECOLI,0.69,0.66,0.48,0.5,0.41,0.5,0.25,4
329,TOLB_ECOLI,0.69,0.65,0.48,0.5,0.63,0.48,0.41,4
330,TORA_ECOLI,0.43,0.59,0.48,0.5,0.52,0.49,0.56,4
331,TREA_ECOLI,0.74,0.56,0.48,0.5,0.47,0.68,0.3,4
332,UGPB_ECOLI,0.71,0.57,0.48,0.5,0.48,0.35,0.32,4
333,USHA_ECOLI,0.61,0.6,0.48,0.5,0.44,0.39,0.38,4
334,XYLF_ECOLI,0.59,0.61,0.48,0.5,0.42,0.42,0.37,4
335,YTFQ_ECOLI,0.74,0.74,0.48,0.5,0.31,0.53,0.52,4
